UniProt_IDs,DrLLPS_labels,UDSM-LLPS (Random) Score,UDSM-LLPS (UniRef) Score,PSPredictor Score
Q96AE4,client,0.9901822,0.99528545,0.9929
Q96I24,client,0.9931699,0.99581796,0.9767
P51116,client,0.9935455,0.78540975,0.9951
Q96QD9,client,0.7481231,0.8085918,0.4269
Q9UBS5,client,0.021789636,0.03275635,0.6007
O75899,client,0.11420418,0.001227367,0.538
P14867,client,0.4068097,0.35429087,0.0061
P48169,client,0.11192443,0.09090164,0.041
O14976,client,0.6663443,0.24723613,0.639
P22466,client,0.00273504,0.03689239,0.0124
Q14697,client,0.0060239243,0.31681338,0.3004
Q8TET4,client,0.37956548,0.65373665,0.0779
P17677,client,0.6220351,0.05311252,0.976
P04406,client,0.6940666,0.75817305,0.0397
Q14C86,client,0.62614375,0.37542987,0.3943
O60861,client,0.65256953,0.88261,0.1213
P15976,client,0.9260356,0.7586566,0.6457
P0DPI2,client,0.011530791,0.0076174317,0.1307
P32456,client,0.6965917,0.89147645,0.0303
P28676,client,0.9117593,0.9667898,0.0118
Q92616,client,0.11611702,0.04705367,0.3837
Q8TB36,client,0.08739066,0.031504635,0.0046
Q96MZ0,client,0.5124056,0.15253703,0.0076
P31150,client,0.35072595,0.34472308,0.0285
P50395,client,0.22951779,0.7886472,0.1223
Q17RS7,client,0.5856709,0.21630844,0.3398
P14136,client,0.012345179,0.73485315,0.2427
Q96RP9,client,0.2400367,0.8726823,0.1341
Q06210,client,0.30024275,0.038603466,0.2611
Q9NZ52,client,0.45210102,0.4254305,0.9712
O75420,client,0.8811607,0.93313795,0.9549
Q6Y7W6,client,0.89563656,0.9375858,0.9518
Q96F15,client,0.7946321,0.22440855,0.0182
Q9Y2X7,client,0.04804758,0.026045961,0.8221
P32189,client,0.2730078,0.30448782,0.1039
Q92896,client,0.2035344,0.056636613,0.4264
Q9H4G4,client,0.30438688,0.6859949,0.0204
Q04760,client,0.19430338,0.32898608,0.0563
Q9HC38,client,0.0887692,0.083132155,0.0787
O76003,client,0.12500754,0.8612583,0.1194
O94925,client,0.026072921,0.03582966,0.1644
P49448,client,0.20191887,0.15768997,0.0107
P15104,client,0.6931713,0.9505202,0.254
O75496,client,0.8298904,0.2421036,0.1532
P29992,client,0.39689115,0.8501698,0.0049
Q14344,client,0.5404568,0.58022815,0.0052
O95837,client,0.057657856,0.80694497,0.0072
P63096,client,0.0058874954,0.8888643,0.0397
P04899,client,0.00092376926,0.6831378,0.0153
P08754,client,0.0012532162,0.24583386,0.0338
P09471,client,0.027119244,0.15203354,0.0852
P50148,client,0.3317641,0.9124559,0.0026
Q5JWF2,client,0.43733793,0.98051685,0.853
P19086,client,0.21675411,0.017769808,0.1218
P62873,client,0.9997428,0.9999994,0.0094
P62879,client,0.99962604,0.99999964,0.0142
Q9HAV0,client,0.9998753,0.9999982,0.0164
O14775,client,0.9881841,0.76710194,0.0608
P59768,client,0.29990843,0.1258705,0.0019
P63215,client,0.2612218,0.5025815,0.0048
P36915,client,0.4598887,0.6964613,0.5993
Q9BVP2,client,0.86918175,0.5884792,0.5131
O15228,client,0.12588812,0.09004008,0.1148
Q08379,client,0.0024450377,0.7951891,0.8757
Q13439,client,0.6725764,0.25225875,0.7611
Q2TAP0,client,0.3280107,0.93381304,0.1297
Q14789,client,0.09738654,0.9703681,0.7959
P00505,client,0.014198919,0.052778278,0.0093
Q9NW75,client,0.7079294,0.7714739,0.9605
Q5T3I0,client,0.9806908,0.6683575,0.8374
P35052,client,0.07050633,0.69743824,0.0249
P43304,client,0.04523046,0.19321212,0.2003
Q9NQX3,client,0.33512327,0.1937712,0.6001
P06744,client,0.23862873,0.20237225,0.0043
Q5T848,client,0.6041515,0.021307409,0.9627
Q9NZH0,client,0.052193504,0.003477791,0.2727
Q7Z2K8,client,0.7661666,0.99492955,0.992
O60269,client,0.3913202,0.21501762,0.9197
Q13098,client,0.26861775,0.49968386,0.0227
Q86YR5,client,0.327899,0.053439572,0.5417
P81274,client,0.255192,0.034396853,0.2876
Q14451,client,0.07591995,0.35541347,0.5792
P42261,client,0.27202833,0.23312172,0.1395
P42262,client,0.017059112,0.22924954,0.2015
P42263,client,0.5911204,0.26494336,0.2984
P48058,client,0.17389686,0.12104764,0.1815
Q05586,client,0.23111874,0.012198971,0.442
Q12879,client,0.71480924,0.04453707,0.4438
O15399,client,0.032357052,0.0040721525,0.5087
P25098,client,0.9432983,0.3563198,0.0616
P34947,client,0.77815807,0.22124904,0.0325
Q14416,client,0.026774885,0.0017607455,0.3054
P41594,client,0.06678435,0.007662379,0.5885
Q9HAV7,client,0.004120077,0.016032418,0.388
Q8TAA5,client,0.12991247,0.22223204,0.0078
Q12849,client,0.12754917,0.92200357,0.0769
Q9BQ67,client,0.7801534,0.88113594,0.026
Q96QA5,client,0.11091097,0.08934923,0.1496
Q14687,client,0.9758851,0.87012637,0.8441
P49840,client,0.7499364,0.38135517,0.3274
P06396,client,0.6686987,0.0019752365,0.2447
Q8IYD1,client,0.873743,0.49772573,0.2251
P08263,client,0.035627853,0.19129652,0.0027
P09210,client,0.034195427,0.2132945,0.0041
Q16772,client,0.037435405,0.53668255,0.0038
O15217,client,0.03063582,0.021173576,0.0061
Q7RTV2,client,0.052517273,0.33318377,0.0045
Q9Y2Q3,client,0.17706998,0.05952233,0.0233
P28161,client,0.37194213,0.4970845,0.0108
P21266,client,0.36929566,0.52909434,0.0047
P78417,client,0.06084361,0.3066555,0.0273
Q9H4Y5,client,0.4880574,0.10995192,0.0177
P09211,client,0.02878264,0.030681679,0.0037
Q00403,client,0.36561665,0.54547304,0.0311
P29084,client,0.60741293,0.5214322,0.9634
P35269,client,0.91173583,0.8537877,0.9457
P13984,client,0.6328532,0.11943734,0.6017
P32780,client,0.22392267,0.07749192,0.4232
Q13888,client,0.75473565,0.22039765,0.0634
Q92759,client,0.44922936,0.37908107,0.0128
P78347,client,0.5193104,0.46103334,0.3036
Q8WUA4,client,0.37230656,0.77404636,0.8009
Q9BZE4,client,0.848077,0.9822182,0.0846
Q16774,client,0.26897895,0.34292847,0.4034
P07305,client,0.95278156,0.99997795,0.8928
Q75WM6,client,0.9732834,0.6619445,0.9922
Q92522,client,0.94966763,0.999757,0.9668
Q9BTM1,client,0.2530915,0.99450547,0.0518
Q71UI9,client,8.3057595e-05,0.000111661175,0.1121
O75367,client,0.606635,0.49771506,0.6208
P0C0S5,client,0.00049061177,2.6194686e-05,0.4239
P84243,client,0.3569794,0.0712822,0.0065
Q5JVS0,client,0.98660755,0.9973558,0.9068
Q9P035,client,0.11790901,0.0032096088,0.0161
Q16836,client,0.10762743,0.072135374,0.9567
P40939,client,0.064017095,0.027413702,0.1197
P55084,client,0.12323246,0.111750536,0.0289
Q16775,client,0.34211087,0.59624696,0.0481
P54257,client,0.11571987,0.10157104,0.3997
P10915,client,0.016965337,0.455955,0.0422
Q9GZV7,client,0.0023155536,0.65592796,0.0245
P49590,client,0.70137024,0.056800544,0.007
Q9NVX0,client,0.015779776,0.11438486,0.0361
Q9BT25,client,0.7117601,0.8613711,0.96
Q99075,client,0.00057331985,0.030946527,0.0051
P08631,client,0.93182486,0.6458069,0.0645
Q13547,client,0.8984409,0.69657433,0.8624
Q92769,client,0.8867665,0.30529335,0.2059
Q9UBN7,client,0.5073319,0.22361541,0.4258
Q9BY41,client,0.053686123,0.062352356,0.0209
Q00341,client,0.96948504,0.700499,0.4168
Q9H583,client,0.3651514,0.034214642,0.343
Q5T447,client,0.08432711,0.5094839,0.4007
Q76N89,client,0.7787417,0.8932412,0.6716
Q9P2P5,client,0.8682201,0.93141216,0.755
P42694,client,0.9529649,0.90208757,0.7063
Q9BYK8,client,0.124733254,0.50798357,0.4579
Q9BQS7,client,0.035309985,0.018337207,0.2339
Q6MZM0,client,0.08555326,0.11936339,0.1369
O95714,client,0.9554859,0.8993993,0.3504
O14964,client,0.97352874,0.8683682,0.9916
Q6UWX4,client,0.063463144,0.049482968,0.5779
Q6NVY1,client,0.27025884,0.4162537,0.0329
Q16665,client,0.06497958,0.0041736756,0.9417
Q9Y2N7,client,0.49931365,0.12794554,0.9387
Q9Y241,client,0.0061324546,0.0131406,0.0123
P49773,client,0.6456143,0.64124304,0.0066
Q9BX68,client,0.054477822,0.08166916,0.0124
O00291,client,0.76819247,0.12703438,0.4054
O75146,client,0.29651225,0.3278083,0.2553
Q9H2X6,client,0.79378545,0.29600677,0.9754
P54198,client,0.6408887,0.84327817,0.3964
Q02539,client,0.7460712,0.99994874,0.9662
P16401,client,0.015895452,0.9999869,0.9951
P16403,client,0.26374158,0.9999906,0.9886
P10412,client,0.022919936,0.9999423,0.9967
Q96QV6,client,0.74258304,0.99485224,0.0534
Q93077,client,0.9239133,0.996083,0.0282
P20671,client,0.63289315,0.99807715,0.0342
Q99878,client,0.24838187,0.99654835,0.0264
P0C0S8,client,0.75708395,0.9969024,0.0398
P33778,client,0.0118765505,0.99955434,0.1066
P58876,client,0.0061004036,0.99979013,0.1451
O60814,client,0.13980205,0.9998696,0.1152
Q99880,client,0.0047429395,0.99955183,0.1864
Q99879,client,0.0094178505,0.9994312,0.0592
P68431,client,0.21251586,0.08531945,0.004
Q6FI13,client,0.90236276,0.9973132,0.0398
Q8IUE6,client,0.9681871,0.89503974,0.0499
Q16777,client,0.4412495,0.999907,0.0563
Q7L7L0,client,0.85925865,0.9949832,0.0375
Q16695,client,0.5097474,0.04402225,0.0056
P19367,client,0.8347133,0.45653328,0.3049
Q14527,client,0.96150124,0.3173982,0.1177
P17096,client,0.9911479,0.99157447,0.9266
P09429,client,0.9435218,0.83928823,0.8837
P26583,client,0.66434485,0.6954173,0.6673
O15347,client,0.67853874,0.72648615,0.4757
Q8WW32,client,0.6464682,0.8751826,0.01
P05114,client,0.9195094,0.97458106,0.8618
O75330,client,0.9288631,0.947745,0.2097
P30519,client,0.13607234,0.01240468,0.0309
Q99729,client,0.99978536,0.99871874,0.9945
P07910,client,0.953448,0.98298246,0.7935
O60812,client,0.953004,0.976576,0.75
P52597,client,0.98353577,0.94677025,0.0968
P61978,client,0.99952674,0.98087734,0.2774
P14866,client,0.65815574,0.94532883,0.9718
Q8WVV9,client,0.30882442,0.2858794,0.6692
P52272,client,0.9749579,0.9968177,0.8675
O43390,client,0.99859697,0.9884244,0.7921
Q00839,client,0.99219656,0.9962985,0.9934
Q9BUJ2,client,0.9969523,0.9880542,0.9796
Q86YM7,client,0.77838504,0.37475544,0.1485
Q9NSB8,client,0.73500896,0.22296554,0.1488
Q96ED9,client,0.40790963,0.7873875,0.1305
Q86VS8,client,0.4904393,0.37340277,0.1445
Q9BPY8,client,0.0982819,0.0660329,0.0026
Q5SSJ5,client,0.98103553,0.9998035,0.9345
P84074,client,0.10263125,0.9827361,0.0095
Q99714,client,0.12954059,0.17253232,0.0129
Q53GQ0,client,0.019636279,0.30474436,0.0479
P51659,client,0.057464913,0.07319001,0.4709
Q3SXM5,client,0.070340484,0.18460652,0.0933
Q6YN16,client,0.0054946938,0.5060938,0.0554
Q03933,client,0.78666407,0.5446754,0.9276
P07900,client,0.49557224,0.7082771,0.366
O43301,client,0.108889125,0.24666806,0.1744
P0DMV9,client,0.68844527,0.939662,0.1251
P34931,client,0.63929695,0.74310315,0.1552
P34932,client,0.22296005,0.5513013,0.3867
O95757,client,0.20292842,0.63606226,0.5469
P17066,client,0.87416846,0.8737861,0.2186
P11142,client,0.7399762,0.8628242,0.5824
P10809,client,0.9566889,0.08856227,0.49
P61604,client,0.541153,0.7283942,0.0385
Q92598,client,0.3043295,0.671918,0.1354
P42858,client,0.19796978,0.12770931,0.5957
P57058,client,0.65105754,0.21078444,0.8956
Q9Y4L1,client,0.2801393,0.80193913,0.3501
P41252,client,0.080960445,0.06801119,0.0178
Q9P2D0,client,0.35528293,0.08378506,0.9707
Q9UMF0,client,0.000112952686,0.056214888,0.7742
P41134,client,0.20495334,0.09471061,0.0054
P48735,client,0.13119267,0.17761351,0.0045
O43837,client,0.03717548,0.021656908,0.0036
P51553,client,0.008238206,0.020545868,0.2945
Q5TF58,client,0.20220043,0.24586068,0.078
Q13099,client,0.7365706,0.36950836,0.5308
Q9Y6M1,client,0.9680932,0.9837803,0.3468
O00425,client,0.88181895,0.9415629,0.6534
P22692,client,0.0009932043,0.012694152,0.1612
P01876,client,5.8631e-05,0.013441133,0.313
P01871,client,0.013995505,0.7692442,0.0686
B9A064,client,0.30274275,0.00960604,0.1803
Q96ID5,client,0.024851924,0.33400324,0.0038
Q969P0,client,0.0039948216,0.26134804,0.1178
Q13123,client,0.6456466,0.6728563,0.0876
O14920,client,0.7212719,0.09009389,0.072
Q9Y6K9,client,0.68642575,0.20477471,0.2216
Q9H5V7,client,0.4919289,0.31547448,0.252
Q12905,client,0.06073392,0.7527376,0.3299
Q13418,client,0.026744805,0.37044087,0.0364
Q16891,client,0.5147015,0.013640601,0.2054
Q96G21,client,0.35294956,0.11283652,0.0069
P29218,client,0.33086428,0.035161324,0.0473
Q16352,client,0.0052054897,0.24371876,0.8293
Q9NQS7,client,0.91615784,0.6809824,0.9819
Q27J81,client,0.72799647,0.9777926,0.954
Q9C086,client,0.80628854,0.95816344,0.7875
Q8NBZ0,client,0.99204284,0.99959487,0.4419
Q8TEX9,client,0.23234425,0.12765104,0.1551
O95373,client,0.37024164,0.13760698,0.0347
O15397,client,0.44894168,0.19254528,0.0444
Q9H8X2,client,0.0804177,0.19208941,0.133
Q15051,client,0.5839727,0.42155495,0.1611
Q9H0B3,client,0.5348363,0.49182793,0.9278
P46940,client,0.12466184,0.6148111,0.3966
Q6DN90,client,0.7706658,0.8418945,0.9905
Q5JU85,client,0.47385275,0.89023936,0.9809
Q9UPP2,client,0.5982172,0.15567835,0.9464
Q8WZA9,client,0.006277528,0.0079443725,0.7879
Q9H9L3,client,0.49132073,0.7674978,0.9903
P53990,client,0.9417348,0.7061774,0.1897
P05556,client,0.050297957,0.0035379801,0.7172
Q08881,client,0.928527,0.88905203,0.0362
Q9NZM3,client,0.9904621,0.8304713,0.7124
Q9Y6Y0,client,0.99631053,0.9985575,0.5343
Q92833,client,0.8852177,0.63640964,0.9702
Q15652,client,0.80286455,0.19158424,0.9579
Q9H910,client,0.1604301,0.9273931,0.7626
O76095,client,0.005795637,0.070295624,0.0159
P05412,client,0.9762547,0.9980101,0.7399
P14923,client,0.14370771,0.14935043,0.7129
O60229,client,0.04200006,0.584508,0.525
Q63ZY3,client,0.0654619,0.038063627,0.9844
O75449,client,0.4523748,0.5956618,0.2632
Q9BVA0,client,0.9139051,0.96176386,0.9177
Q674X7,client,0.82321066,0.39090377,0.3242
O94819,client,0.12589344,0.18555328,0.4273
Q13303,client,0.2189758,0.17084926,0.0132
O43526,client,0.105050854,0.015991377,0.7414
Q96CX2,client,0.22297035,0.5823717,0.3249
Q68DU8,client,0.54469824,0.59019774,0.0408
Q8NC69,client,0.5156558,0.94222873,0.0193
Q6ZWB6,client,0.6934091,0.8208781,0.5248
O60341,client,0.013453336,0.0028433597,0.5232
Q9Y2K7,client,0.16072819,0.18263619,0.0811
Q9Y4C1,client,0.3563799,0.43355122,0.0536
Q7LBC6,client,0.45141834,0.45577696,0.7291
Q07666,client,0.9906667,0.98949534,0.9021
Q5VWX1,client,0.9847974,0.9414661,0.7524
O75525,client,0.9979824,0.97195476,0.925
Q92628,client,0.4624513,0.5133802,0.9556
O15063,client,0.8555508,0.6831384,0.996
O15091,client,0.0016539666,0.045069978,0.0056
O60268,client,0.55203754,0.7868173,0.2842
Q9BVV6,client,0.92927414,0.70647365,0.5423
Q2KHM9,client,0.41871676,0.10931245,0.926
Q9UPP5,client,0.6718253,0.76487494,0.763
Q6NV74,client,0.53148735,0.54273736,0.9632
Q5T5P2,client,0.9768928,0.9017493,0.9405
Q9HCM3,client,0.0017821132,0.0011861179,0.8668
Q6ZVL6,client,0.37407818,0.32412985,0.8397
P52732,client,0.8686486,0.25766292,0.4641
Q9NQT8,client,0.5252299,0.7160942,0.4428
Q15058,client,0.7932323,0.040656224,0.513
Q9NS87,client,0.6893079,0.24037036,0.7285
O60333,client,0.28185388,0.2764891,0.306
Q96Q89,client,0.88192594,0.96767575,0.9068
Q7Z4S6,client,0.9900906,0.98198515,0.8542
O00139,client,0.7518267,0.9342892,0.6726
Q8N4N8,client,0.90709835,0.60168844,0.3848
Q99661,client,0.80682063,0.6147767,0.3335
Q9Y496,client,0.4600618,0.7874636,0.4659
O15066,client,0.47071883,0.5763675,0.8293
Q12840,client,0.15725686,0.45447347,0.4908
O60282,client,0.35781723,0.48555335,0.6827
Q9BW19,client,0.30815607,0.7185837,0.8975
O60870,client,0.8744835,0.14529034,0.4108
P43628,client,0.018197212,0.7448141,0.1378
P10721,client,0.004219491,0.09638358,0.2098
Q2M2Z5,client,0.17094767,0.7078381,0.8903
Q9H0B6,client,0.13376155,0.16397518,0.482
O43474,client,0.0047513205,0.76927286,0.8375
Q03164,client,0.35453278,0.26917064,0.9745
Q1ED39,client,0.88657355,0.76500356,0.9132
P52294,client,0.00677658,0.012536441,0.0235
O00505,client,0.0037827538,0.024684748,0.0265
O15131,client,0.017574882,0.029511075,0.0228
O60684,client,0.0008489034,0.0061015915,0.0821
A9QM74,client,0.009261999,0.13498563,0.0057
Q8N9T8,client,0.8149456,0.68412584,0.5927
O00522,client,0.037406873,0.009510279,0.6517
Q13601,client,0.9534947,0.8953063,0.2739
P04264,client,0.00215086,0.6212457,0.9956
P13645,client,0.0017866497,0.09937336,0.9966
Q04695,client,3.0643e-06,0.14729702,0.0747
P05783,client,0.00024244426,0.12232799,0.1864
P08729,client,6.590706e-05,0.048591956,0.3497
P05787,client,4.044315e-05,0.9846528,0.2205
Q86UP2,client,0.3992454,0.23176447,0.5706
P32004,client,0.065388426,0.88693094,0.2078
Q5T7N2,client,0.5204724,0.27306366,0.6021
Q6IAA8,client,0.42265892,0.78446096,0.0288
O43504,client,0.026987217,0.21251468,0.263
O43813,client,0.008346641,0.3332629,0.0058
Q9NS86,client,0.14625444,0.03148806,0.0064
P28838,client,0.06996247,0.22691451,0.0408
Q6PKG0,client,0.93327945,0.9805711,0.8711
Q71RC2,client,0.8636891,0.5880148,0.9343
Q92615,client,0.72586685,0.73119617,0.9339
Q4G0J3,client,0.99226296,0.837319,0.2062
Q9Y4W2,client,0.42721656,0.5778065,0.3736
Q14847,client,0.9256912,0.9690754,0.9919
O95835,client,0.86520624,0.6262456,0.9965
Q9NRM7,client,0.57054806,0.14361174,0.9639
Q9BQE6,client,0.35682377,0.14166592,0.2109
Q86VQ0,client,0.8863253,0.59412104,0.6312
P06239,client,0.9725681,0.9610551,0.0071
P13796,client,0.015138497,0.59493685,0.1048
P00338,client,0.67761934,0.318326,0.0178
P07195,client,0.8212353,0.57663125,0.0281
Q5SW96,client,0.15038057,0.4940064,0.0179
Q9Y2U8,client,0.43254396,0.11582563,0.8224
O95202,client,0.4875637,0.94762534,0.1153
P47929,client,0.23212104,0.85544026,0.0041
O00214,client,0.50669837,0.22445008,0.0178
O95970,client,0.8558379,0.008174654,0.1275
P18858,client,0.647833,0.5308388,0.8962
P49916,client,0.7410407,0.21166283,0.1256
Q9UHB6,client,0.3954583,0.7957184,0.9886
Q9UPQ0,client,0.7534733,0.96615046,0.8604
P53667,client,0.68454176,0.4462806,0.3523
P53671,client,0.5785928,0.6725877,0.1204
Q9H9Z2,client,0.9345753,0.73963594,0.0393
Q6ZN17,client,0.93991804,0.982723,0.9805
O14910,client,0.9794821,0.9517923,0.083
Q9HAP6,client,0.9825074,0.94276714,0.0258
Q9NUP9,client,0.98997915,0.88472706,0.0229
Q96FE5,client,0.015979683,0.0023104413,0.2453
Q05469,client,0.17468491,0.073581055,0.8766
Q15334,client,0.0927042,0.4394827,0.3274
Q9BRT6,client,0.8226021,0.67278796,0.093
P02545,client,0.05516253,0.16094255,0.9161
Q03252,client,0.028837029,0.55442435,0.3504
P61968,client,0.9950706,0.5064988,0.3377
Q8WWI1,client,0.30460715,0.9868505,0.8742
Q8IWU2,client,0.48766997,0.6550069,0.8306
Q96Q04,client,0.67429537,0.30067748,0.6245
P36776,client,0.36611038,0.7230791,0.244
Q93052,client,0.983316,0.9977779,0.9922
Q96NI6,client,0.22887412,0.033192895,0.825
Q07954,client,0.018886574,0.47533494,0.408
P42704,client,0.034640327,0.045860536,0.0521
Q50LG9,client,0.0006268257,0.001070124,0.0472
Q9H9A6,client,0.5664642,0.00015738164,0.0948
Q8N1G4,client,0.27215165,0.024231646,0.4333
Q8N9N7,client,0.44147882,0.041966915,0.0074
Q96AG4,client,0.75050825,0.20920052,0.1174
Q96NW7,client,0.99106956,0.87056303,0.2174
Q5JTD7,client,0.14822726,0.00750033,0.0869
Q8IWT6,client,0.33008707,0.004263319,0.0338
Q9C099,client,0.4502721,0.03388878,0.1761
Q38SD2,client,0.45518535,0.45510486,0.0788
Q5S007,client,0.52221245,0.35256055,0.0797
Q6UWE0,client,0.6952805,0.10761915,0.2898
Q13449,client,0.010879239,0.34496543,0.0834
Q3MHD2,client,0.37010965,0.25624546,0.1994
Q9Y333,client,0.99884075,0.98898834,0.007
P62310,client,0.9990778,0.99820817,0.0118
Q9NQ29,client,0.9783255,0.97958493,0.0191
Q9Y383,client,0.99431956,0.9345374,0.0666
O95232,client,0.9822412,0.92854816,0.5131
Q86V48,client,0.8886673,0.28105575,0.9471
O94772,client,0.07335553,0.0055934596,0.4212
Q9NX58,client,0.9589233,0.67262244,0.8529
P0DP58,client,0.03600843,0.012210789,0.0456
Q99698,client,0.88864696,0.00063180923,0.3129
Q9BRK4,client,0.4031192,0.61140245,0.9414
O60299,client,0.69199085,0.65338963,0.9675
Q9BQ69,client,0.15739103,0.052811135,0.155
Q9Y6D9,client,0.7124745,0.46125618,0.2036
Q13257,client,0.051597223,0.0762707,0.0061
Q9UI95,client,0.027402975,0.18427128,0.01
Q8WXG6,client,0.77429986,0.9244832,0.3427
Q7L5Y9,client,0.10170142,0.6950747,0.0306
Q96JY0,client,0.7033749,0.404512,0.4143
P20916,client,0.06391541,0.027982827,0.0181
P43358,client,0.7306667,0.4117924,0.068
O15479,client,0.6091231,0.24953532,0.6459
Q9Y5V3,client,0.9302369,0.96441996,0.9524
Q9UNF1,client,0.7596859,0.2813703,0.9609
Q96QZ7,client,0.99104697,0.98311204,0.9485
Q86UL8,client,0.9864893,0.9945418,0.9041
P61326,client,0.31824487,0.9459264,0.0329
Q9BXY0,client,0.7585993,0.7811873,0.0099
P55145,client,0.0015821236,0.1195439,0.0026
P21397,client,0.27283704,0.6152824,0.0023
P27338,client,0.19643135,0.12178323,0.0067
P78559,client,0.22367434,0.5295514,0.97
Q9H492,client,0.56387115,0.60626704,0.0048
Q66K74,client,0.115591854,0.49060377,0.9277
P11137,client,0.98151416,0.9638232,0.9676
Q02750,client,0.37390876,0.15361118,0.1158
P36507,client,0.44736162,0.049503695,0.0358
Q16584,client,0.7799519,0.17575878,0.8652
Q5TCX8,client,0.7707292,0.25829208,0.9725
P27816,client,0.91793615,0.9642323,0.966
O95819,client,0.94250125,0.8046088,0.9046
Q96JE9,client,0.9791256,0.6526324,0.9809
Q9H9H5,client,0.104643784,0.16604084,0.6099
Q3KQU3,client,0.93976957,0.19717193,0.9653
Q49MG5,client,0.73396385,0.6142013,0.8515
P28482,client,0.4973628,0.2219429,0.0118
P53779,client,0.27560186,0.024177207,0.2713
Q15759,client,0.8008498,0.03741365,0.0091
P31152,client,0.31083348,0.09417139,0.4031
Q9UPT6,client,0.79603446,0.39708248,0.3569
Q8IW41,client,0.80423194,0.021621328,0.0176
Q15691,client,0.55437464,0.52480245,0.0375
Q15555,client,0.13585192,0.81400865,0.7572
Q9UPY8,client,0.13833426,0.21836811,0.1009
Q969Z3,client,0.027529772,0.028547458,0.0224
P29966,client,0.8315434,0.9144333,0.981
P49006,client,0.75440305,0.78675777,0.9928
Q9Y4F3,client,0.7047991,0.4291438,0.6738
Q9P0L2,client,0.39617944,0.63061494,0.7831
Q96L34,client,0.35022452,0.27821997,0.8502
P56192,client,0.96897113,0.9688737,0.0561
Q00266,client,0.09467997,0.31739664,0.0127
P31153,client,0.13009462,0.38015667,0.0311
O95983,client,0.18777227,0.4158862,0.2176
Q9NR56,client,0.8226299,0.93835515,0.1328
Q5VZF2,client,0.32688314,0.70010096,0.0078
P02686,client,0.8978201,0.9692114,0.9938
Q9HCC0,client,0.046393353,0.035755,0.0444
P25205,client,0.46558288,0.2831462,0.3457
Q8NEM0,client,0.7600519,0.6110959,0.9786
C9JLW8,client,0.65697515,0.7674315,0.2117
Q9BUT9,client,0.30889598,0.19785433,0.5502
Q96EZ8,client,0.56354344,0.25677034,0.7342
Q9ULC4,client,0.12204575,0.8819927,0.0021
Q8NE86,client,0.10306245,0.0122244395,0.0202
P40925,client,0.26990157,0.13628383,0.0681
P40926,client,0.073467664,0.24670349,0.0113
Q00987,client,0.9979917,0.99918777,0.7164
Q9NU22,client,0.35064545,0.6269099,0.2502
P23368,client,0.1540547,0.10395585,0.0036
Q9HAF1,client,0.74863225,0.4639868,0.8265
Q9BTT4,client,0.047824454,0.9752229,0.0033
Q13503,client,0.009348562,0.026583828,0.0275
P53582,client,0.45090565,0.5140916,0.0552
Q6UB28,client,0.7276323,0.031226525,0.2406
P50579,client,0.07943056,0.53717506,0.2099
Q9UBP6,client,0.59874874,0.23915647,0.4936
Q9BUU2,client,0.05404853,0.22663052,0.0231
Q6P1Q9,client,0.33181664,0.65343195,0.0371
A1L020,client,0.8631484,0.7767034,0.8671
Q6ZN04,client,0.3846974,0.6886003,0.9937
Q5U5Q3,client,0.97332394,0.6090535,0.9853
Q86XN8,client,0.9439693,0.9109428,0.9874
P55081,client,0.72469246,0.9603803,0.288
Q9GZY8,client,0.3629955,0.18841255,0.1795
Q9Y4C4,client,0.07741168,0.05604113,0.0864
O95140,client,0.20475389,0.11318537,0.1051
Q86YT6,client,0.017081955,0.028105563,0.6045
Q9H8M7,client,0.09948836,0.15478058,0.0515
Q4G0A6,client,0.39493743,0.3631737,0.9181
Q8N4C8,client,0.99200153,0.80456185,0.961
P46013,client,0.9907957,0.9934592,0.9942
Q9NPJ1,client,0.24090286,0.12570983,0.1625
Q9BUB5,client,0.9082097,0.036402497,0.6677
Q9H000,client,0.38098502,0.10961555,0.0632
P40692,client,0.27345937,0.051823497,0.861
Q9UHC1,client,0.4550708,0.38488385,0.4892
Q8NB16,client,0.33084345,0.07012781,0.008
P50281,client,0.73175925,0.120388076,0.0167
Q9H8L6,client,0.029680807,0.33980826,0.2324
Q9BU76,client,0.98428637,0.92894197,0.9784
Q9H8S9,client,0.36876312,0.70255744,0.0247
Q7L9L4,client,0.6020277,0.72211844,0.0118
Q16653,client,0.11282606,0.03319761,0.0042
Q13724,client,0.008818029,0.011109689,0.3701
Q9UBU8,client,0.6136412,0.378581,0.3359
Q9HCE1,client,0.20731711,0.70969343,0.0848
Q99547,client,0.5624928,0.86738074,0.0158
Q8TAP9,client,0.994619,0.99959224,0.9805
P05164,client,0.01366414,0.01634209,0.0294
Q00013,client,0.961054,0.2865339,0.9793
Q14168,client,0.7995815,0.24597006,0.1689
Q9NZW5,client,0.5597395,0.18635839,0.0404
Q5T2T1,client,0.91181225,0.8324229,0.7079
O14807,client,0.9969946,0.9584612,0.0097
P49959,client,0.84760725,0.46689203,0.7323
Q6IN84,client,0.10535494,0.07050973,0.2853
Q9UI43,client,0.0166061,0.37122294,0.0091
Q9HC36,client,0.0921756,0.13577904,0.0475
A0A0A0MT08,client,0.20914924,0.3965016,0.7318
Q9Y3B7,client,0.00644638,0.006097814,0.0094
P52815,client,0.019042188,0.022230946,0.0145
Q9NRX2,client,0.3522401,0.25769043,0.0039
P49406,client,0.22484459,0.26729068,0.0214
